epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
104,5696.74,2.6863,3.30662,1.92711,0.27852,0.23411,0.18299,0.11468,2.48464,3.59202,1.70977,0.00118614,0.00118614,0.00118614
105,5752.21,2.7762,3.07685,1.96801,0.61164,0.2509,0.18348,0.11015,2.39712,3.81127,1.64772,0.00118378,0.00118378,0.00118378
106,5806.37,2.6353,3.06946,1.91497,0.62843,0.26888,0.20911,0.12653,2.48876,3.68112,1.69071,0.00118143,0.00118143,0.00118143
107,5860.93,2.65553,3.0292,1.88938,0.28368,0.24916,0.19099,0.11489,2.36017,4.34008,1.67545,0.00117907,0.00117907,0.00117907
108,5914.87,2.76488,3.10178,1.92404,0.27362,0.25525,0.1933,0.11966,2.39884,3.1104,1.64597,0.00117671,0.00117671,0.00117671
109,5970.1,2.71259,3.15816,1.90835,0.30217,0.26099,0.19348,0.11894,2.37148,3.48778,1.64762,0.00117435,0.00117435,0.00117435
110,6024.99,2.75856,3.30271,1.96453,0.25694,0.25013,0.1817,0.1155,2.31772,3.70601,1.62015,0.00117199,0.00117199,0.00117199
111,6080.33,2.86787,3.21284,1.94867,0.25939,0.23662,0.17971,0.11143,2.30155,3.22779,1.62872,0.00116964,0.00116964,0.00116964
112,6134.88,2.6571,3.1127,1.87206,0.24569,0.22709,0.17454,0.11539,2.35683,3.70047,1.6403,0.00116728,0.00116728,0.00116728
113,6190.24,2.5924,3.19578,1.885,0.24925,0.26017,0.19089,0.12484,2.46411,3.7616,1.71375,0.00116492,0.00116492,0.00116492
114,6245.08,2.63082,2.99053,1.91041,0.28066,0.23468,0.18563,0.11835,2.41171,3.45724,1.68536,0.00116256,0.00116256,0.00116256
115,6300.29,2.76662,2.99708,1.95913,0.27394,0.24588,0.18895,0.1152,2.40509,4.05783,1.66505,0.00116021,0.00116021,0.00116021
116,6355.57,2.73578,3.17763,1.96202,0.25465,0.24363,0.19305,0.12082,2.30908,3.43663,1.62112,0.00115785,0.00115785,0.00115785
117,6410.34,2.66281,3.04551,1.86691,0.2516,0.25809,0.18063,0.10882,2.35169,3.37243,1.6137,0.00115549,0.00115549,0.00115549
118,6466.03,2.59276,2.89674,1.88606,0.26274,0.27896,0.18559,0.116,2.26576,3.99893,1.59881,0.00115313,0.00115313,0.00115313
119,6521.03,2.63334,3.05482,1.88558,0.28395,0.23329,0.19567,0.12606,2.518,3.42358,1.6564,0.00115077,0.00115077,0.00115077
120,6576.15,2.63972,3.04489,1.90926,0.27414,0.24762,0.19776,0.12399,2.30326,3.39662,1.60273,0.00114842,0.00114842,0.00114842
121,6630.78,2.59367,2.85827,1.82891,0.24208,0.2529,0.19072,0.12371,2.32764,3.65332,1.61526,0.00114606,0.00114606,0.00114606
122,6685.87,2.59632,2.88081,1.87269,0.26789,0.24588,0.18464,0.11432,2.38332,3.54345,1.63718,0.0011437,0.0011437,0.0011437
123,6740.48,2.61817,2.95857,1.8212,0.24233,0.25812,0.18662,0.11567,2.40736,3.65833,1.63737,0.00114134,0.00114134,0.00114134
124,6794.98,2.63755,3.07378,1.90849,0.29982,0.24138,0.18174,0.11632,2.40237,3.75533,1.6146,0.00113898,0.00113898,0.00113898
125,6850.49,2.67785,2.93695,1.99052,0.24318,0.25823,0.18634,0.11764,2.28175,4.1385,1.61883,0.00113663,0.00113663,0.00113663
126,6905.22,2.62356,2.96621,1.86185,0.25691,0.28346,0.19225,0.11929,2.17005,3.68365,1.57296,0.00113427,0.00113427,0.00113427
127,6960.15,2.73271,3.15021,1.92255,0.25383,0.23436,0.17851,0.12111,2.25368,3.47799,1.61058,0.00113191,0.00113191,0.00113191
128,7015.45,2.65187,3.17118,1.91837,0.29771,0.26441,0.1928,0.11924,2.30416,3.92286,1.58073,0.00112955,0.00112955,0.00112955
129,7070.3,2.65185,2.96896,1.88759,0.28207,0.27394,0.20148,0.13168,2.32166,3.57215,1.57336,0.0011272,0.0011272,0.0011272
130,7124.78,2.58807,3.04629,1.88702,0.64406,0.25064,0.20309,0.12989,2.22094,3.41133,1.59191,0.00112484,0.00112484,0.00112484
131,7179.8,2.60289,3.10683,1.89796,0.61728,0.25965,0.19388,0.12203,2.33553,3.3716,1.63395,0.00112248,0.00112248,0.00112248
132,7235.75,2.68001,2.75623,1.90208,0.64423,0.24267,0.19019,0.11438,2.38623,3.74925,1.6374,0.00112012,0.00112012,0.00112012
133,7290.03,2.51844,2.99368,1.82846,0.25353,0.22561,0.17432,0.10974,2.52862,4.19183,1.69739,0.00111776,0.00111776,0.00111776
134,7345.36,2.62292,2.93243,1.8971,0.26078,0.25569,0.18396,0.11446,2.36278,4.23898,1.63445,0.00111541,0.00111541,0.00111541
135,7400.22,2.58988,2.89555,1.88376,0.28576,0.23037,0.18128,0.11535,2.46221,3.82644,1.71684,0.00111305,0.00111305,0.00111305
136,7454.7,2.59246,2.83813,1.84029,0.23135,0.23749,0.18119,0.11502,2.3236,3.85134,1.62184,0.00111069,0.00111069,0.00111069
137,7508.72,2.52456,2.99938,1.81936,0.20938,0.24691,0.16308,0.10104,2.38184,4.12923,1.63389,0.00110833,0.00110833,0.00110833
138,7562.66,2.4592,2.86747,1.79692,0.25728,0.25875,0.17762,0.1159,2.37993,4.54242,1.64545,0.00110597,0.00110597,0.00110597
139,7618.25,2.65712,2.81182,1.92586,0.25912,0.24588,0.16592,0.10646,2.33759,4.06556,1.62657,0.00110362,0.00110362,0.00110362
140,7673.46,2.69002,2.92076,1.89623,0.25748,0.26017,0.17544,0.11246,2.44355,4.02575,1.65391,0.00110126,0.00110126,0.00110126
141,7728.18,2.48916,2.8168,1.85812,0.23452,0.25675,0.18948,0.12326,2.35611,3.86908,1.63641,0.0010989,0.0010989,0.0010989
142,7783.21,2.61034,2.93654,1.85309,0.25258,0.24189,0.18571,0.12232,2.29846,3.76874,1.62864,0.00109654,0.00109654,0.00109654
143,7838.13,2.61735,3.04643,1.84295,0.25449,0.23701,0.17077,0.10981,2.45625,3.58716,1.65779,0.00109419,0.00109419,0.00109419
144,7892.76,2.60116,2.82145,1.87397,0.2613,0.24562,0.18228,0.11351,2.37071,4.02797,1.6625,0.00109183,0.00109183,0.00109183
145,7947.49,2.63809,2.76022,1.8733,0.2841,0.25566,0.18733,0.11662,2.29178,4.08215,1.61337,0.00108947,0.00108947,0.00108947
146,8002.4,2.60234,2.82816,1.84422,0.27631,0.23488,0.1864,0.11616,2.33874,4.44722,1.6546,0.00108711,0.00108711,0.00108711
147,8057.07,2.57468,2.80933,1.8535,0.26776,0.23514,0.17358,0.10899,2.38625,3.8539,1.6787,0.00108475,0.00108475,0.00108475
148,8111.81,2.61943,3.02909,1.90344,0.23741,0.24865,0.17555,0.1121,2.53027,3.79752,1.67847,0.0010824,0.0010824,0.0010824
149,8166.2,2.51234,2.55315,1.80365,0.24514,0.24614,0.16976,0.10203,2.40656,4.33729,1.62188,0.00108004,0.00108004,0.00108004
150,8220.71,2.63323,2.94264,1.84467,0.25245,0.24272,0.16969,0.10609,2.35273,4.31757,1.59661,0.00107768,0.00107768,0.00107768
151,8275.32,2.62482,2.74243,1.89791,0.2359,0.27819,0.16935,0.10516,2.34475,4.91149,1.60044,0.00107532,0.00107532,0.00107532
152,8330.55,2.58001,2.68374,1.8689,0.24946,0.27317,0.17888,0.11411,2.43262,4.62696,1.6306,0.00107296,0.00107296,0.00107296
153,8385.63,2.60116,2.60707,1.85332,0.25431,0.25792,0.17629,0.11272,2.45319,4.54354,1.63829,0.00107061,0.00107061,0.00107061
154,8439.87,2.5567,2.76077,1.84999,0.26076,0.26672,0.17498,0.10838,2.29612,3.97372,1.62262,0.00106825,0.00106825,0.00106825
155,8495.19,2.66245,2.67139,1.92955,0.28289,0.23687,0.19036,0.1221,2.24978,4.15792,1.64453,0.00106589,0.00106589,0.00106589
156,8549.66,2.49716,2.59378,1.80643,0.27155,0.25566,0.18496,0.11984,2.27238,4.13822,1.62287,0.00106353,0.00106353,0.00106353
157,8604.27,2.5948,2.766,1.854,0.27069,0.24427,0.17347,0.11007,2.24329,4.32524,1.61035,0.00106118,0.00106118,0.00106118
158,8658.33,2.5418,2.86813,1.80036,0.28267,0.22085,0.18178,0.11585,2.33334,3.97211,1.62585,0.00105882,0.00105882,0.00105882
159,8712.81,2.62458,2.79037,1.85924,0.27326,0.25965,0.1813,0.1106,2.40258,4.3018,1.62054,0.00105646,0.00105646,0.00105646
160,8768.21,2.70159,2.76692,1.94109,0.27419,0.2446,0.18056,0.1181,2.22792,4.11416,1.5973,0.0010541,0.0010541,0.0010541
161,8822.64,2.46485,2.99305,1.81632,0.30513,0.24138,0.18584,0.11611,2.29186,4.04529,1.60672,0.00105174,0.00105174,0.00105174
162,8877.72,2.50893,2.854,1.83852,0.28923,0.24414,0.18469,0.11655,2.39013,4.08516,1.6253,0.00104939,0.00104939,0.00104939
163,8933.18,2.53521,2.41517,1.87132,0.2919,0.27593,0.19976,0.12699,2.2796,4.73785,1.61466,0.00104703,0.00104703,0.00104703
164,8988.4,2.60016,3.00853,1.84544,0.25251,0.24277,0.18756,0.11972,2.31291,3.75973,1.64511,0.00104467,0.00104467,0.00104467
165,9043.8,2.60018,2.86222,1.88061,0.29475,0.24481,0.18791,0.11624,2.29579,4.07333,1.63401,0.00104231,0.00104231,0.00104231
166,9099.27,2.69711,2.5933,1.9288,0.27331,0.26813,0.18854,0.12292,2.37811,4.64963,1.63103,0.00103995,0.00103995,0.00103995
167,9154.42,2.51346,2.53682,1.84548,0.27062,0.2509,0.17907,0.1127,2.22257,4.25837,1.60795,0.0010376,0.0010376,0.0010376
168,9208.62,2.46721,2.82791,1.82553,0.25997,0.23887,0.19141,0.12577,2.22952,4.12126,1.62239,0.00103524,0.00103524,0.00103524
169,9263.34,2.62226,2.90087,1.92618,0.29256,0.23436,0.17982,0.11573,2.20911,3.89089,1.60808,0.00103288,0.00103288,0.00103288
170,9317.88,2.56432,2.84565,1.82333,0.27322,0.2574,0.18542,0.11637,2.29274,3.43213,1.63848,0.00103052,0.00103052,0.00103052
171,9372.77,2.5877,2.99241,1.87672,0.25962,0.2529,0.18019,0.11093,2.28907,4.25141,1.63301,0.00102817,0.00102817,0.00102817
172,9426.9,2.41953,2.88494,1.77288,0.27569,0.24163,0.1819,0.11821,2.30641,3.70182,1.63737,0.00102581,0.00102581,0.00102581
173,9481.86,2.56338,2.71361,1.85836,0.25514,0.27787,0.18281,0.11469,2.34323,4.45371,1.61676,0.00102345,0.00102345,0.00102345
174,9536.93,2.49883,2.64572,1.85519,0.28688,0.22033,0.18251,0.11877,2.33588,4.34111,1.63158,0.00102109,0.00102109,0.00102109
175,9591.68,2.44976,2.55513,1.84757,0.26728,0.2574,0.18451,0.11812,2.28248,3.93285,1.62578,0.00101873,0.00101873,0.00101873
176,9647.22,2.46046,2.48592,1.82862,0.28176,0.26216,0.18975,0.11955,2.39074,3.89158,1.66176,0.00101638,0.00101638,0.00101638
177,9701.93,2.43583,2.63641,1.83171,0.26587,0.24839,0.181,0.11795,2.3204,4.35231,1.64968,0.00101402,0.00101402,0.00101402
178,9756.64,2.42067,2.54905,1.8519,0.27881,0.24337,0.18337,0.11822,2.26087,4.37478,1.61043,0.00101166,0.00101166,0.00101166
179,9811.63,2.53871,2.77369,1.81709,0.26231,0.24414,0.18606,0.11392,2.33499,4.10325,1.6371,0.0010093,0.0010093,0.0010093
